,Gridcell,LaunchZone,X,X after,X before,Y,Y after,Y before,bearing,diffLong,distance m,easting,initial bearing,lat,lat after,lat before,lon,lon after,lon before,northing,speed m/s,x,y
2014-02-16 17:07:00,18.0,0.0,8420215.342591936,8420216.577944824,8420215.377753247,534561.042328315,534563.924135344,534561.0423858062,67.18121579592514,4.6605817906688785e-07,0.035161359670613325,0.03516131266951561,67.18121579592517,-14.2896523475,-14.289641141916663,-14.289652029583335,-170.67955907208332,-170.67953236883332,-170.67955907200002,5.7491241022944444e-05,0.0005860226611768888,4.5163851240228976e-07,1.9002560522340947e-07
2014-02-16 17:07:00,31.0,0.0,8419991.08153241,8419993.654884404,8419987.88366624,534702.1288286651,534690.8865093678,534707.335880594,289.3666531154443,-2.663164454306674e-06,6.11062499498364,-3.1978661697357893,-70.63334688455568,-14.291678269666667,-14.291655143250006,-14.291707118333335,-170.67824808741668,-170.67835235608337,-170.67819976799998,5.207051928853616,0.101843749916394,-2.5807440294549546e-06,9.071354848122492e-07
2014-02-16 17:08:00,31.0,0.0,8419993.654884404,8419992.894909903,8419991.08153241,534690.8865093678,534681.1481899399,534702.1288286651,274.8910389948104,-3.395535150465994e-06,11.533077805503053,-2.573351994156837,-85.10896100518958,-14.291655143250006,-14.291662136666664,-14.291678269666667,-170.67835235608337,-170.67844263725001,-170.67824808741668,11.242319297278302,0.1922179634250508,-3.29044899188306e-06,2.815725891891496e-07
2014-02-16 17:08:00,18.0,0.0,8420216.577944824,8420215.665347654,8420215.342591936,534563.924135344,534562.8256938941,534561.042328315,79.59848298283043,2.885131060225811e-07,3.1354279631502964,-1.2353528887033465,79.5984829828304,-14.289641141916663,-14.289649407,-14.2896523475,-170.67953236883332,-170.67954254149998,-170.67955907208332,-2.8818070290144533,0.0522571327191716,2.795866075902703e-07,5.1321396771220045e-08
2014-02-16 17:08:00,24.0,5.0,8420090.47649434,8420094.247195788,8420091.497544171,534656.5972653282,534650.2938024997,534668.256023709,278.6776654771219,-2.9072865644406973e-06,11.70338368760833,1.021049831062555,-81.3223345228781,-14.290780146999998,-14.290746132583337,-14.290770769083332,-170.67867151899998,-170.6787300110833,-170.67856343583338,11.658758380799556,0.19505639479347212,-2.81732236006092e-06,4.2998703023156004e-07
2014-02-16 17:08:00,38.0,2.0,8419864.97687409,8419870.982757622,8419860.437638486,534663.6908333581,534655.4705182454,534672.7360507129,301.4963965883884,-2.796319985888085e-06,10.120307153060358,-4.539235604926943,-58.5036034116117,-14.29281894341667,-14.292764743333334,-14.292859872249998,-170.6786028545,-170.67867914841668,-170.67851893108332,9.045217354781926,0.1686717858843393,-2.7097652542244657e-06,1.660311874290832e-06
2014-02-16 17:09:00,38.0,2.0,8419870.982757622,8419875.157983014,8419864.97687409,534655.4705182454,534649.0305433163,534663.6908333581,304.86877579580755,-2.374649892370273e-06,10.180580413134596,-6.00588353164494,-55.131224204192456,-14.292764743333334,-14.292727073083336,-14.29281894341667,-170.67867914841668,-170.6787389119166,-170.6786028545,8.220315112732349,0.16967634021890993,-2.301147536611576e-06,1.6034391270569603e-06
2014-02-16 17:09:00,18.0,0.0,8420215.665347654,8420215.98291725,8420216.577944824,534562.8256938941,534562.0032460585,534563.924135344,252.60681140176328,-3.1070642232836646e-07,1.4280781539495069,0.912597170099616,-107.39318859823672,-14.289649407,-14.289646545916668,-14.289641141916663,-170.67954254149998,-170.67955017100002,-170.67953236883332,1.0984414499253037,0.023801302565825112,-3.010932739858547e-07,-9.431760431000136e-08
2014-02-16 17:09:00,31.0,0.0,8419992.894909903,8419993.95057326,8419993.654884404,534681.1481899399,534674.1552891015,534690.8865093678,270.93897839725645,-2.707545266239281e-06,9.767928466234633,0.7599745001643896,-89.06102160274355,-14.291662136666664,-14.291652679333337,-14.291655143250006,-170.67844263725001,-170.67850748699996,-170.67835235608337,9.738319427939132,0.1627988077705772,-2.623751359241975e-06,4.300258149569913e-08
2014-02-16 17:09:00,24.0,5.0,8420094.247195788,8420097.154171845,8420090.47649434,534650.2938024997,534639.3262142453,534656.5972653282,291.1806695569986,-2.796319986384137e-06,7.345191150446197,-3.7707014475017786,-68.81933044300136,-14.290746132583337,-14.290719986,-14.290780146999998,-170.6787300110833,-170.67883173633336,-170.67867151899998,6.30346282850951,0.1224198525074366,-2.709789889876935e-06,1.050006596059472e-06
2014-02-16 17:10:00,31.0,0.0,8419993.95057326,8419995.94343028,8419992.894909903,534674.1552891015,534663.1864728443,534681.1481899399,279.61258773392893,-2.9072836550933204e-06,7.0721345616264495,-1.0556633565574884,-80.38741226607111,-14.291652679333337,-14.291634798000002,-14.291662136666664,-170.67850748699996,-170.67860921233333,-170.67844263725001,6.992900838376952,0.11786890936044082,-2.8173084096893624e-06,4.771487354116033e-07
2014-02-16 17:10:00,38.0,2.0,8419875.157983014,8419877.696620097,8419870.982757622,534649.0305433163,534643.8225958789,534655.4705182454,300.0362078634918,-1.8864027607706383e-06,7.6750103687989375,-4.175225391983987,-59.96379213650817,-14.292727073083336,-14.292704184833331,-14.292764743333334,-170.6787389119166,-170.6787872313333,-170.67867914841668,6.439974929089657,0.12791683947998225,-1.8280132670208686e-06,1.0569447894681616e-06
